V= -2.58196003103202862405e+01 ,P= 3.73475339663458289579e+04
V= 1.72180399689679717312e+02 ,P= -1.24518573305008481839e+05
V= 1.73180399689679717312e+02 ,P= -1.25241509551558163366e+05
V= 1.74180399689679717312e+02 ,P= -1.25964435923295561224e+05
V= 1.75180399689679717312e+02 ,P= -1.26687352103142766282e+05
V= 1.76180399689679717312e+02 ,P= -1.27410257763965491904e+05
V= 1.77180399689679717312e+02 ,P= -1.28133152568414807320e+05
V= 1.78180399689679717312e+02 ,P= -1.28856036168769482174e+05
V= 1.79180399689679717312e+02 ,P= -1.29578908205835250556e+05
V= 1.80180399689679717312e+02 ,P= -1.30301768308286365937e+05
V= 1.81180399689679717312e+02 ,P= -1.31024616095328688971e+05
V= 1.82180399689679717312e+02 ,P= -1.31747451171787717612e+05
V= 1.83180399689679717312e+02 ,P= -1.32470273131714609917e+05
V= 1.84180399689679717312e+02 ,P= -1.33193081554849137319e+05
V= 1.85180399689679717312e+02 ,P= -1.33915876009306375636e+05
V= 1.86180399689679717312e+02 ,P= -1.34638656047989468789e+05
V= 1.87180399689679717312e+02 ,P= -1.35361421210802625865e+05
V= 1.88180399689679717312e+02 ,P= -1.36084171022981085116e+05
V= 1.89180399689679717312e+02 ,P= -1.36806904994370270288e+05
V= 1.90180399689679717312e+02 ,P= -1.37529622619688714622e+05
V= 1.91180399689679717312e+02 ,P= -1.38252323377802007599e+05
V= 1.92180399689679717312e+02 ,P= -1.38975006730979832355e+05
V= 1.93180399689679717312e+02 ,P= -1.39697672124646429438e+05
V= 1.94180399689679717312e+02 ,P= -1.40420318987130391179e+05
V= 1.95180399689679717312e+02 ,P= -1.41142946727873990312e+05
V= 1.96180399689679717312e+02 ,P= -1.41865554738692648243e+05
V= 1.97180399689679717312e+02 ,P= -1.42588142392487032339e+05
V= 1.98180399689679717312e+02 ,P= -1.43310709041402587900e+05
V= 1.99180399689679717312e+02 ,P= -1.44033254017561877845e+05
V= 2.00180399689679717312e+02 ,P= -1.44755776633301953552e+05
V= 2.01180399689679717312e+02 ,P= -1.45478276177722116699e+05
V= 2.02180399689679717312e+02 ,P= -1.46200751918456342537e+05
V= 2.03180399689679717312e+02 ,P= -1.46923203100301849190e+05
V= 2.04180399689679717312e+02 ,P= -1.47645628944352647522e+05
V= 2.05180399689679717312e+02 ,P= -1.48368028647117957007e+05
V= 2.06180399689679717312e+02 ,P= -1.49090401379624207038e+05
V= 2.07180399689679717312e+02 ,P= -1.49812746287592075532e+05
V= 2.08180399689679717312e+02 ,P= -1.50535062489985401044e+05
V= 2.09180399689679717312e+02 ,P= -1.51257349078079947503e+05
V= 2.10180399689679717312e+02 ,P= -1.51979605113961937604e+05
V= 2.11180399689679717312e+02 ,P= -1.52701829631218832219e+05
V= 2.12180399689679717312e+02 ,P= -1.53424021633428172208e+05
V= 2.13180399689679717312e+02 ,P= -1.54146180092614347814e+05
V= 2.14180399689679717312e+02 ,P= -1.54868303949365275912e+05
V= 2.15180399689679717312e+02 ,P= -1.55590392109567124862e+05
V= 2.16180399689679717312e+02 ,P= -1.56312443446180026513e+05
V= 2.17180399689679717312e+02 ,P= -1.57034456797647289932e+05
V= 2.18180399689679717312e+02 ,P= -1.57756430965125880903e+05
V= 2.19180399689679717312e+02 ,P= -1.58478364711960515706e+05
V= 2.20180399689679717312e+02 ,P= -1.59200256764315621695e+05
V= 2.21180399689679717312e+02 ,P= -1.59922105807765678037e+05
V= 2.22180399689679717312e+02 ,P= -1.60643910487314366037e+05
V= 2.23180399689679717312e+02 ,P= -1.61365669405667373212e+05
V= 2.24180399689679717312e+02 ,P= -1.62087381122063845396e+05
V= 2.25180399689679717312e+02 ,P= -1.62809044150499335956e+05
V= 2.26180399689679717312e+02 ,P= -1.63530656959107494913e+05
V= 2.27180399689679717312e+02 ,P= -1.64252217968944110908e+05
V= 2.28180399689679717312e+02 ,P= -1.64973725550953880884e+05
V= 2.29180399689679717312e+02 ,P= -1.65695178025286761113e+05
V= 2.30180399689679717312e+02 ,P= -1.66416573661824601004e+05
V= 2.31180399689679717312e+02 ,P= -1.67137910674049519002e+05
V= 2.32180399689679717312e+02 ,P= -1.67859187221932574175e+05
V= 2.33180399689679717312e+02 ,P= -1.68580401407555909827e+05
V= 2.34180399689679717312e+02 ,P= -1.69301551274335943162e+05
