 2019/5/7/10:3, 281526.785183736
 2019/5/7/10:4, 281486.74482392723
 2019/5/7/10:5, 281524.88156567374
 2019/5/7/10:6, 281565.1776031687
 2019/5/7/10:7, 281524.88156567374
 2019/5/7/10:8, 281563.40868312336
 2019/5/7/10:9, 281602.318803518
 2019/5/7/10:10, 281602.318803518
 2019/5/7/10:11, 281644.8174598328
 2019/5/7/10:12, 281605.81146487757
 2019/5/7/10:13, 281607.7031281577
 2019/5/7/10:14, 281648.3452352037
 2019/5/7/10:15, 281688.91615548445
 2019/5/7/10:16, 281732.8258409409
 2019/5/7/10:17, 281688.91615548445
 2019/5/7/10:18, 281644.8174598328
 2019/5/7/10:19, 281641.60538439435
 2019/5/7/10:20, 281679.76616848673
 2019/5/7/10:21, 281721.14550672116
 2019/5/7/10:22, 281805.5535381217
 2019/5/7/10:23, 281766.5569374561
 2019/5/7/10:24, 281767.9267628874
 2019/5/7/10:25, 281725.24401138496
 2019/5/7/10:26, 281766.5569374561
 2019/5/7/10:27, 281766.5569374561
 2019/5/7/10:28, 281850.4136942978
 2019/5/7/10:29, 281809.1069789408
 2019/5/7/10:30, 281809.1069789408
 2019/5/7/10:31, 281809.1069789408
 2019/5/7/10:32, 281807.8503692412
 2019/5/7/10:33, 281806.7462747735
 2019/5/7/10:34, 281806.7462747735
 2019/5/7/10:35, 281806.7462747735
 2019/5/7/10:36, 281805.5535381217
 2019/5/7/10:37, 281803.2703345396
 2019/5/7/10:38, 281845.24776858307
 2019/5/7/10:39, 281806.7462747735
 2019/5/7/10:40, 281807.8503692412
 2019/5/7/10:41, 281805.5535381217
 2019/5/7/10:42, 281803.2703345396
 2019/5/7/10:43, 281802.28312496457
 2019/5/7/10:44, 281802.28312496457
 2019/5/7/10:45, 281802.28312496457
 2019/5/7/10:46, 281802.28312496457
 2019/5/7/10:47, 281844.23560699436
 2019/5/7/10:48, 281801.2224340641
 2019/5/7/10:49, 281843.285916019
 2019/5/7/10:50, 281843.285916019
 2019/5/7/10:51, 281843.285916019
 2019/5/7/10:52, 281842.36977720057
 2019/5/7/10:53, 281800.1954402485
 2019/5/7/10:54, 281758.1399220673
 2019/5/7/10:55, 281758.1399220673
 2019/5/7/10:56, 281757.03465131373
 2019/5/7/10:57, 281839.89585279673
 2019/5/7/10:58, 281883.21219914977
 2019/5/7/10:59, 281840.71432439674
 2019/5/7/11:0, 281798.33087979414
 2019/5/7/11:1, 281798.33087979414
 2019/5/7/11:2, 281797.40072236117
 2019/5/7/11:3, 281796.50376902014
 2019/5/7/11:4, 281838.35459084436
 2019/5/7/11:5, 281838.35459084436
 2019/5/7/11:6, 281795.6411156604
 2019/5/7/11:7, 281837.6960969756
 2019/5/7/11:8, 281838.35459084436
 2019/5/7/11:9, 281881.82490301586
 2019/5/7/11:10, 281883.21219914977
 2019/5/7/11:11, 281883.21219914977
 2019/5/7/11:12, 281925.8230805196
 2019/5/7/11:13, 281925.8230805196
 2019/5/7/11:14, 281968.5441637563
 2019/5/7/11:15, 281968.5441637563
 2019/5/7/11:16, 281925.8230805196
 2019/5/7/11:17, 281968.5441637563
 2019/5/7/11:18, 281969.0704266938
 2019/5/7/11:19, 281969.0704266938
 2019/5/7/11:20, 281926.45746605546
 2019/5/7/11:21, 281968.5441637563
 2019/5/7/11:22, 282010.6320353016
 2019/5/7/11:23, 281967.58915570664
 2019/5/7/11:24, 282011.37295004184
 2019/5/7/11:25, 282054.62114518846
 2019/5/7/11:26, 282054.96748384
 2019/5/7/11:27, 282012.244515251
 2019/5/7/11:28, 282012.244515251
 2019/5/7/11:29, 281969.0704266938
 2019/5/7/11:30, 282011.37295004184
 2019/5/7/11:31, 281968.05013169115
 2019/5/7/11:32, 281968.5441637563
 2019/5/7/11:33, 281969.0704266938
 2019/5/7/11:34, 281968.05013169115
 2019/5/7/11:35, 281967.58915570664
 2019/5/7/11:36, 281967.58915570664
 2019/5/7/11:37, 281967.18937561073
 2019/5/7/11:38, 281923.177310795
 2019/5/7/11:39, 281922.7358129386
 2019/5/7/11:40, 281922.7358129386
 2019/5/7/11:41, 281878.97148379724
 2019/5/7/11:42, 281878.5233847527
 2019/5/7/11:43, 281921.97357991786
 2019/5/7/11:44, 281922.7358129386
 2019/5/7/11:45, 281966.0889258395
 2019/5/7/11:46, 281965.7870444838
 2019/5/7/11:47, 281965.52981807303
 2019/5/7/11:48, 281965.52981807303
 2019/5/7/11:49, 281965.52981807303
 2019/5/7/11:50, 281922.3539856974
 2019/5/7/11:51, 281921.97357991786
 2019/5/7/11:52, 281921.6278346197
 2019/5/7/11:53, 281921.6278346197
 2019/5/7/11:54, 281921.6278346197
 2019/5/7/11:55, 281921.3113049097
 2019/5/7/11:56, 281921.02878068876
