G[2151]= 0.978000 T[2151]= 54.330000 I[2151]= 632.278000 V[2151]= 380.610000  Time[2151]= 2019/5/7/10:25
G[2152]= 0.984000 T[2152]= 54.540000 I[2152]= 636.883000 V[2152]= 379.250000  Time[2152]= 2019/5/7/10:26
G[2153]= 0.984000 T[2153]= 54.540000 I[2153]= 637.377000 V[2153]= 380.610000  Time[2153]= 2019/5/7/10:27
G[2154]= 0.996000 T[2154]= 54.860000 I[2154]= 641.410000 V[2154]= 380.040000  Time[2154]= 2019/5/7/10:28
G[2155]= 0.990000 T[2155]= 54.650000 I[2155]= 644.770000 V[2155]= 377.780000  Time[2155]= 2019/5/7/10:29
G[2156]= 0.990000 T[2156]= 54.650000 I[2156]= 643.964000 V[2156]= 379.800000  Time[2156]= 2019/5/7/10:30
G[2157]= 0.990000 T[2157]= 54.650000 I[2157]= 646.893000 V[2157]= 376.570000  Time[2157]= 2019/5/7/10:31
G[2158]= 0.990000 T[2158]= 54.750000 I[2158]= 648.404000 V[2158]= 376.150000  Time[2158]= 2019/5/7/10:32
G[2159]= 0.990000 T[2159]= 54.850000 I[2159]= 646.048000 V[2159]= 378.810000  Time[2159]= 2019/5/7/10:33
G[2160]= 0.990000 T[2160]= 54.850000 I[2160]= 650.859000 V[2160]= 375.260000  Time[2160]= 2019/5/7/10:34
G[2161]= 0.990000 T[2161]= 54.850000 I[2161]= 646.242000 V[2161]= 378.100000  Time[2161]= 2019/5/7/10:35
G[2162]= 0.990000 T[2162]= 54.950000 I[2162]= 655.583000 V[2162]= 372.490000  Time[2162]= 2019/5/7/10:36
G[2163]= 0.990000 T[2163]= 55.150000 I[2163]= 656.666000 V[2163]= 371.430000  Time[2163]= 2019/5/7/10:37
G[2164]= 0.996000 T[2164]= 55.360000 I[2164]= 651.709000 V[2164]= 377.050000  Time[2164]= 2019/5/7/10:38
G[2165]= 0.990000 T[2165]= 54.850000 I[2165]= 653.812000 V[2165]= 375.720000  Time[2165]= 2019/5/7/10:39
G[2166]= 0.990000 T[2166]= 54.750000 I[2166]= 654.347000 V[2166]= 375.670000  Time[2166]= 2019/5/7/10:40
G[2167]= 0.990000 T[2167]= 54.950000 I[2167]= 660.014000 V[2167]= 374.010000  Time[2167]= 2019/5/7/10:41
G[2168]= 0.990000 T[2168]= 55.150000 I[2168]= 658.950000 V[2168]= 375.490000  Time[2168]= 2019/5/7/10:42
G[2169]= 0.990000 T[2169]= 55.250000 I[2169]= 664.124000 V[2169]= 371.650000  Time[2169]= 2019/5/7/10:43
G[2170]= 0.990000 T[2170]= 55.250000 I[2170]= 661.649000 V[2170]= 372.180000  Time[2170]= 2019/5/7/10:44
G[2171]= 0.990000 T[2171]= 55.250000 I[2171]= 662.591000 V[2171]= 371.760000  Time[2171]= 2019/5/7/10:45
G[2172]= 0.990000 T[2172]= 55.250000 I[2172]= 665.510000 V[2172]= 370.410000  Time[2172]= 2019/5/7/10:46
G[2173]= 0.996000 T[2173]= 55.460000 I[2173]= 663.223000 V[2173]= 372.990000  Time[2173]= 2019/5/7/10:47
G[2174]= 0.990000 T[2174]= 55.350000 I[2174]= 664.767000 V[2174]= 372.510000  Time[2174]= 2019/5/7/10:48
G[2175]= 0.996000 T[2175]= 55.560000 I[2175]= 663.757000 V[2175]= 373.100000  Time[2175]= 2019/5/7/10:49
G[2176]= 0.996000 T[2176]= 55.560000 I[2176]= 667.092000 V[2176]= 371.670000  Time[2176]= 2019/5/7/10:50
G[2177]= 0.996000 T[2177]= 55.560000 I[2177]= 668.028000 V[2177]= 372.240000  Time[2177]= 2019/5/7/10:51
G[2178]= 0.996000 T[2178]= 55.660000 I[2178]= 675.589000 V[2178]= 366.930000  Time[2178]= 2019/5/7/10:52
G[2179]= 0.990000 T[2179]= 55.450000 I[2179]= 675.072000 V[2179]= 367.650000  Time[2179]= 2019/5/7/10:53
